Index,year,county,property,violent,total_index_crimes
1991-Sullivan,1991,Sullivan,2891,338,3229
1991-Tioga,1991,Tioga,1110,166,1276
1991-Tompkins,1991,Tompkins,4680,182,4862
1991-Ulster,1991,Ulster,4640,544,5184
1991-Warren,1991,Warren,2423,298,2721
1991-Washington,1991,Washington,1293,209,1502
1991-Wayne,1991,Wayne,2896,197,3093
1991-Westchester,1991,Westchester,33185,3933,37118
1991-Wyoming,1991,Wyoming,998,222,1220
1991-Yates,1991,Yates,621,57,678
1992-Albany,1992,Albany,14661,1588,16249
1992-Allegany,1992,Allegany,1217,161,1378
1992-Bronx,1992,Bronx,61501,31050,92551
1992-Broome,1992,Broome,6574,365,6939
1992-Cattaraugus,1992,Cattaraugus,2262,322,2584
1992-Cayuga,1992,Cayuga,2146,210,2356
1992-Chautauqua,1992,Chautauqua,5021,296,5317
1992-Chemung,1992,Chemung,3757,298,4055
1992-Chenango,1992,Chenango,1190,125,1315
1992-Clinton,1992,Clinton,1859,210,2069
1992-Columbia,1992,Columbia,1606,269,1875
1992-Cortland,1992,Cortland,1998,110,2108
1992-Delaware,1992,Delaware,991,85,1076
1992-Dutchess,1992,Dutchess,8029,1017,9046
1992-Erie,1992,Erie,47788,8516,56304
1992-Essex,1992,Essex,783,88,871
1992-Franklin,1992,Franklin,903,160,1063
1992-Fulton,1992,Fulton,1941,123,2064
1992-Genesee,1992,Genesee,1688,79,1767
1992-Greene,1992,Greene,1147,261,1408
1992-Hamilton,1992,Hamilton,144,2,146
1992-Herkimer,1992,Herkimer,1534,193,1727
1992-Jefferson,1992,Jefferson,2553,249,2802
1992-Kings,1992,Kings,120017,56682,176699
1992-Lewis,1992,Lewis,274,24,298
1992-Livingston,1992,Livingston,1662,121,1783
1992-Madison,1992,Madison,1687,86,1773
1992-Monroe,1992,Monroe,41489,2985,44474
1992-Montgomery,1992,Montgomery,961,30,991
1992-Nassau,1992,Nassau,36485,3718,40203
1992-New York,1992,New York,150159,37788,187947
1992-Niagara,1992,Niagara,9001,1087,10088
1992-Oneida,1992,Oneida,8523,617,9140
1992-Onondaga,1992,Onondaga,19448,1915,21363
1992-Ontario,1992,Ontario,2381,136,2517
1992-Orange,1992,Orange,9264,1254,10518
1992-Orleans,1992,Orleans,1133,178,1311
1992-Oswego,1992,Oswego,3440,113,3553
1992-Otsego,1992,Otsego,1181,66,1247
1992-Putnam,1992,Putnam,1566,107,1673
1992-Queens,1992,Queens,121080,30816,151896
1992-Rensselaer,1992,Rensselaer,5286,375,5661
1992-Richmond,1992,Richmond,14825,3319,18144
1992-Rockland,1992,Rockland,6985,730,7715
1992-Saratoga,1992,Saratoga,4599,566,5165
1992-Schenectady,1992,Schenectady,6020,924,6944
1992-Schoharie,1992,Schoharie,624,59,683
1992-Schuyler,1992,Schuyler,461,35,496
1992-Seneca,1992,Seneca,667,36,703
1992-St Lawrence,1992,St Lawrence,3577,233,3810
1992-Steuben,1992,Steuben,3195,244,3439
1992-Suffolk,1992,Suffolk,59824,4218,64042
1992-Sullivan,1992,Sullivan,2538,334,2872
1992-Tioga,1992,Tioga,1018,183,1201
1992-Tompkins,1992,Tompkins,4589,181,4770
1992-Ulster,1992,Ulster,4710,501,5211
1992-Warren,1992,Warren,2499,373,2872
1992-Washington,1992,Washington,1163,189,1352
1992-Wayne,1992,Wayne,2773,187,2960
1992-Westchester,1992,Westchester,30553,3722,34275
1992-Wyoming,1992,Wyoming,990,189,1179
1992-Yates,1992,Yates,481,67,548
1993-Albany,1993,Albany,13470,1669,15139
1993-Allegany,1993,Allegany,1134,131,1265
1993-Bronx,1993,Bronx,60692,31235,91927
1993-Broome,1993,Broome,7237,389,7626
1993-Cattaraugus,1993,Cattaraugus,2403,291,2694
1993-Cayuga,1993,Cayuga,1998,205,2203
1993-Chautauqua,1993,Chautauqua,4575,395,4970
1993-Chemung,1993,Chemung,3499,238,3737
1993-Chenango,1993,Chenango,1035,140,1175
1993-Clinton,1993,Clinton,1721,181,1902
1993-Columbia,1993,Columbia,1485,274,1759
1993-Cortland,1993,Cortland,1991,102,2093
1993-Delaware,1993,Delaware,1062,88,1150
1993-Dutchess,1993,Dutchess,7020,888,7908
1993-Erie,1993,Erie,45298,8100,53398
1993-Essex,1993,Essex,676,96,772
1993-Franklin,1993,Franklin,1031,177,1208
1993-Fulton,1993,Fulton,2074,123,2197
1993-Genesee,1993,Genesee,1575,92,1667
1993-Greene,1993,Greene,1103,299,1402
1993-Hamilton,1993,Hamilton,120,8,128
1993-Herkimer,1993,Herkimer,1280,189,1469
1993-Jefferson,1993,Jefferson,2695,187,2882
1993-Kings,1993,Kings,114305,54931,169236
1993-Lewis,1993,Lewis,286,31,317
1993-Livingston,1993,Livingston,1566,135,1701
1993-Madison,1993,Madison,1461,59,1520
1993-Monroe,1993,Monroe,39307,3132,42439
1993-Montgomery,1993,Montgomery,972,41,1013
1993-Nassau,1993,Nassau,35398,3567,38965
1993-New York,1993,New York,136551,35470,172021
1993-Niagara,1993,Niagara,8951,950,9901
1993-Oneida,1993,Oneida,7639,601,8240
1993-Onondaga,1993,Onondaga,18547,1716,20263
1993-Ontario,1993,Ontario,2399,162,2561
1993-Orange,1993,Orange,8898,1195,10093
1993-Orleans,1993,Orleans,1124,99,1223
1993-Oswego,1993,Oswego,3355,97,3452
1993-Otsego,1993,Otsego,1260,96,1356
1993-Putnam,1993,Putnam,1464,79,1543
1993-Queens,1993,Queens,120451,28565,149016
1993-Rensselaer,1993,Rensselaer,5207,471,5678
1993-Richmond,1993,Richmond,14856,3347,18203
1993-Rockland,1993,Rockland,7030,618,7648
1993-Saratoga,1993,Saratoga,3760,517,4277
1993-Schenectady,1993,Schenectady,5662,744,6406
1993-Schoharie,1993,Schoharie,538,49,587
1993-Schuyler,1993,Schuyler,390,38,428
1993-Seneca,1993,Seneca,612,44,656
1993-St Lawrence,1993,St Lawrence,3229,218,3447
1993-Steuben,1993,Steuben,2799,205,3004
1993-Suffolk,1993,Suffolk,55442,3799,59241
1993-Sullivan,1993,Sullivan,2732,379,3111
1993-Tioga,1993,Tioga,936,180,1116
1993-Tompkins,1993,Tompkins,4652,217,4869
1993-Ulster,1993,Ulster,4492,556,5048
1993-Warren,1993,Warren,2447,302,2749
1993-Washington,1993,Washington,1093,215,1308
1993-Wayne,1993,Wayne,2661,178,2839
1993-Westchester,1993,Westchester,28887,3840,32727
1993-Wyoming,1993,Wyoming,959,192,1151
1993-Yates,1993,Yates,494,59,553
1994-Albany,1994,Albany,14953,1771,16724
1994-Allegany,1994,Allegany,1106,129,1235
1994-Bronx,1994,Bronx,56467,27863,84330
1994-Broome,1994,Broome,7272,437,7709
1994-Cattaraugus,1994,Cattaraugus,2342,279,2621
1994-Cayuga,1994,Cayuga,1912,186,2098
1994-Chautauqua,1994,Chautauqua,4801,450,5251
1994-Chemung,1994,Chemung,3648,260,3908
1994-Chenango,1994,Chenango,1160,196,1356
1994-Clinton,1994,Clinton,1707,224,1931
1994-Columbia,1994,Columbia,1449,241,1690
1994-Cortland,1994,Cortland,1940,99,2039
1994-Delaware,1994,Delaware,1108,76,1184
1994-Dutchess,1994,Dutchess,6681,889,7570
1994-Erie,1994,Erie,42905,8752,51657
1994-Essex,1994,Essex,649,91,740
1994-Franklin,1994,Franklin,961,232,1193
1994-Fulton,1994,Fulton,2003,122,2125
1994-Genesee,1994,Genesee,1588,102,1690
1994-Greene,1994,Greene,1044,271,1315
1994-Hamilton,1994,Hamilton,106,5,111
1994-Herkimer,1994,Herkimer,1268,163,1431
1994-Jefferson,1994,Jefferson,2642,179,2821
1994-Kings,1994,Kings,100186,48212,148398
1994-Lewis,1994,Lewis,238,24,262
1994-Livingston,1994,Livingston,1428,119,1547
1994-Madison,1994,Madison,1515,48,1563
1994-Monroe,1994,Monroe,34718,3246,37964
1994-Montgomery,1994,Montgomery,971,70,1041
1994-Nassau,1994,Nassau,31426,3135,34561
1994-New York,1994,New York,119188,31895,151083
1994-Niagara,1994,Niagara,8506,860,9366
1994-Oneida,1994,Oneida,7325,571,7896
1994-Onondaga,1994,Onondaga,18104,1584,19688
1994-Ontario,1994,Ontario,2328,102,2430
1994-Orange,1994,Orange,8624,1345,9969
1994-Orleans,1994,Orleans,924,66,990
1994-Oswego,1994,Oswego,3312,75,3387
1994-Otsego,1994,Otsego,1156,87,1243
1994-Putnam,1994,Putnam,1327,64,1391
1994-Queens,1994,Queens,103638,25412,129050
1994-Rensselaer,1994,Rensselaer,4922,483,5405
1994-Richmond,1994,Richmond,14777,3189,17966
1994-Rockland,1994,Rockland,6719,659,7378
1994-Saratoga,1994,Saratoga,3698,456,4154
1994-Schenectady,1994,Schenectady,6030,783,6813
1994-Schoharie,1994,Schoharie,493,47,540
1994-Schuyler,1994,Schuyler,302,36,338
1994-Seneca,1994,Seneca,740,47,787
1994-St Lawrence,1994,St Lawrence,3238,208,3446
