Index,year,county,property,violent,total_index_crimes
1999-Essex,1999,Essex,538,111,649
1999-Franklin,1999,Franklin,751,177,928
1999-Fulton,1999,Fulton,1392,140,1532
1999-Genesee,1999,Genesee,1374,87,1461
1999-Greene,1999,Greene,891,219,1110
1999-Hamilton,1999,Hamilton,128,7,135
1999-Herkimer,1999,Herkimer,1293,157,1450
1999-Jefferson,1999,Jefferson,2061,165,2226
1999-Kings,1999,Kings,60428,28725,89153
1999-Lewis,1999,Lewis,255,29,284
1999-Livingston,1999,Livingston,1441,112,1553
1999-Madison,1999,Madison,1195,69,1264
1999-Monroe,1999,Monroe,28581,1943,30524
1999-Montgomery,1999,Montgomery,855,107,962
1999-Nassau,1999,Nassau,25603,2595,28198
1999-New York,1999,New York,65434,16179,81613
1999-Niagara,1999,Niagara,6657,734,7391
1999-Oneida,1999,Oneida,6065,523,6588
1999-Onondaga,1999,Onondaga,14478,1995,16473
1999-Ontario,1999,Ontario,2179,129,2308
1999-Orange,1999,Orange,7796,1005,8801
1999-Orleans,1999,Orleans,799,94,893
1999-Oswego,1999,Oswego,2637,126,2763
1999-Otsego,1999,Otsego,1206,167,1373
1999-Putnam,1999,Putnam,1154,66,1220
1999-Queens,1999,Queens,54898,15700,70598
1999-Rensselaer,1999,Rensselaer,4313,461,4774
1999-Richmond,1999,Richmond,7070,1547,8617
1999-Rockland,1999,Rockland,5968,739,6707
1999-Saratoga,1999,Saratoga,2717,218,2935
1999-Schenectady,1999,Schenectady,4855,570,5425
1999-Schoharie,1999,Schoharie,470,43,513
1999-Schuyler,1999,Schuyler,425,26,451
1999-Seneca,1999,Seneca,631,40,671
1999-St Lawrence,1999,St Lawrence,2651,197,2848
1999-Steuben,1999,Steuben,2241,186,2427
1999-Suffolk,1999,Suffolk,35013,2430,37443
1999-Sullivan,1999,Sullivan,1873,235,2108
1999-Tioga,1999,Tioga,571,43,614
1999-Tompkins,1999,Tompkins,2549,161,2710
1999-Ulster,1999,Ulster,3683,389,4072
1999-Warren,1999,Warren,1596,109,1705
1999-Washington,1999,Washington,929,193,1122
1999-Wayne,1999,Wayne,1844,109,1953
1999-Westchester,1999,Westchester,19970,2740,22710
1999-Wyoming,1999,Wyoming,918,105,1023
1999-Yates,1999,Yates,409,32,441
2000-Albany,2000,Albany,12743,1353,14096
2000-Allegany,2000,Allegany,821,143,964
2000-Bronx,2000,Bronx,33055,16482,49537
2000-Broome,2000,Broome,5623,420,6043
2000-Cattaraugus,2000,Cattaraugus,1687,194,1881
2000-Cayuga,2000,Cayuga,1724,175,1899
2000-Chautauqua,2000,Chautauqua,3659,287,3946
2000-Chemung,2000,Chemung,2590,271,2861
2000-Chenango,2000,Chenango,1070,103,1173
2000-Clinton,2000,Clinton,1176,239,1415
2000-Columbia,2000,Columbia,982,146,1128
2000-Cortland,2000,Cortland,1528,105,1633
2000-Delaware,2000,Delaware,597,104,701
2000-Dutchess,2000,Dutchess,5737,609,6346
2000-Erie,2000,Erie,30926,4545,35471
2000-Essex,2000,Essex,642,125,767
2000-Franklin,2000,Franklin,815,205,1020
2000-Fulton,2000,Fulton,1379,134,1513
2000-Genesee,2000,Genesee,1549,85,1634
2000-Greene,2000,Greene,735,153,888
2000-Hamilton,2000,Hamilton,116,7,123
2000-Herkimer,2000,Herkimer,1239,163,1402
2000-Jefferson,2000,Jefferson,1979,157,2136
2000-Kings,2000,Kings,58301,27611,85912
2000-Lewis,2000,Lewis,248,14,262
2000-Livingston,2000,Livingston,1464,88,1552
2000-Madison,2000,Madison,1267,90,1357
2000-Monroe,2000,Monroe,29845,2089,31934
2000-Montgomery,2000,Montgomery,881,107,988
2000-Nassau,2000,Nassau,23592,2389,25981
2000-New York,2000,New York,63696,15583,79279
2000-Niagara,2000,Niagara,6534,725,7259
2000-Oneida,2000,Oneida,5874,577,6451
2000-Onondaga,2000,Onondaga,14444,2001,16445
2000-Ontario,2000,Ontario,1869,107,1976
2000-Orange,2000,Orange,7741,1014,8755
2000-Orleans,2000,Orleans,632,57,689
2000-Oswego,2000,Oswego,2367,111,2478
2000-Otsego,2000,Otsego,898,134,1032
2000-Putnam,2000,Putnam,1018,53,1071
2000-Queens,2000,Queens,50313,14349,64662
2000-Rensselaer,2000,Rensselaer,4400,481,4881
2000-Richmond,2000,Richmond,6891,1714,8605
2000-Rockland,2000,Rockland,5374,635,6009
2000-Saratoga,2000,Saratoga,2763,263,3026
2000-Schenectady,2000,Schenectady,4726,559,5285
2000-Schoharie,2000,Schoharie,529,26,555
2000-Schuyler,2000,Schuyler,402,21,423
2000-Seneca,2000,Seneca,658,31,689
2000-St Lawrence,2000,St Lawrence,2574,234,2808
2000-Steuben,2000,Steuben,1912,137,2049
2000-Suffolk,2000,Suffolk,33362,3049,36411
2000-Sullivan,2000,Sullivan,1917,285,2202
2000-Tioga,2000,Tioga,473,34,507
2000-Tompkins,2000,Tompkins,2445,113,2558
2000-Ulster,2000,Ulster,3562,401,3963
2000-Warren,2000,Warren,1664,110,1774
2000-Washington,2000,Washington,905,206,1111
2000-Wayne,2000,Wayne,2030,121,2151
2000-Westchester,2000,Westchester,19410,2624,22034
2000-Wyoming,2000,Wyoming,1011,113,1124
2000-Yates,2000,Yates,322,26,348
2001-Albany,2001,Albany,12084,1649,13733
2001-Allegany,2001,Allegany,757,143,900
2001-Bronx,2001,Bronx,31574,14793,46367
2001-Broome,2001,Broome,5387,443,5830
2001-Cattaraugus,2001,Cattaraugus,1707,190,1897
2001-Cayuga,2001,Cayuga,1729,177,1906
2001-Chautauqua,2001,Chautauqua,3281,350,3631
2001-Chemung,2001,Chemung,2563,251,2814
2001-Chenango,2001,Chenango,1105,130,1235
2001-Clinton,2001,Clinton,1249,202,1451
2001-Columbia,2001,Columbia,958,116,1074
2001-Cortland,2001,Cortland,1486,101,1587
2001-Delaware,2001,Delaware,699,113,812
2001-Dutchess,2001,Dutchess,5491,627,6118
2001-Erie,2001,Erie,30610,4572,35182
2001-Essex,2001,Essex,661,58,719
2001-Franklin,2001,Franklin,819,199,1018
2001-Fulton,2001,Fulton,1383,93,1476
2001-Genesee,2001,Genesee,1489,96,1585
2001-Greene,2001,Greene,756,175,931
2001-Hamilton,2001,Hamilton,97,3,100
2001-Herkimer,2001,Herkimer,1170,171,1341
2001-Jefferson,2001,Jefferson,2038,174,2212
2001-Kings,2001,Kings,52605,25226,77831
2001-Lewis,2001,Lewis,272,44,316
2001-Livingston,2001,Livingston,1576,66,1642
2001-Madison,2001,Madison,1355,99,1454
2001-Monroe,2001,Monroe,28140,2096,30236
2001-Montgomery,2001,Montgomery,830,101,931
2001-Nassau,2001,Nassau,20406,2671,23077
2001-New York,2001,New York,58748,14248,72996
2001-Niagara,2001,Niagara,7213,733,7946
2001-Oneida,2001,Oneida,6124,602,6726
2001-Onondaga,2001,Onondaga,15486,2023,17509
2001-Ontario,2001,Ontario,1914,97,2011
2001-Orange,2001,Orange,7565,1036,8601
2001-Orleans,2001,Orleans,507,65,572
2001-Oswego,2001,Oswego,2878,116,2994
2001-Otsego,2001,Otsego,793,117,910
2001-Putnam,2001,Putnam,1008,91,1099
2001-Queens,2001,Queens,46347,12991,59338
2001-Rensselaer,2001,Rensselaer,4204,458,4662
2001-Richmond,2001,Richmond,6214,1479,7693
2001-Rockland,2001,Rockland,5380,719,6099
2001-Saratoga,2001,Saratoga,2903,265,3168
2001-Schenectady,2001,Schenectady,4859,619,5478
2001-Schoharie,2001,Schoharie,587,46,633
2001-Schuyler,2001,Schuyler,359,31,390
2001-Seneca,2001,Seneca,549,57,606
2001-St Lawrence,2001,St Lawrence,2301,225,2526
2001-Steuben,2001,Steuben,1905,120,2025
2001-Suffolk,2001,Suffolk,34329,3326,37655
2001-Sullivan,2001,Sullivan,1558,259,1817
2001-Tioga,2001,Tioga,511,31,542
2001-Tompkins,2001,Tompkins,2493,121,2614
2001-Ulster,2001,Ulster,3141,359,3500
2001-Warren,2001,Warren,1671,101,1772
2001-Washington,2001,Washington,765,195,960
2001-Wayne,2001,Wayne,1974,139,2113
2001-Westchester,2001,Westchester,18802,2789,21591
2001-Wyoming,2001,Wyoming,1083,102,1185
2001-Yates,2001,Yates,329,19,348
2002-Albany,2002,Albany,11078,1706,12784
2002-Allegany,2002,Allegany,746,116,862
2002-Bronx,2002,Bronx,29923,14112,44035
2002-Broome,2002,Broome,5820,468,6288
2002-Cattaraugus,2002,Cattaraugus,1887,215,2102
2002-Cayuga,2002,Cayuga,1679,165,1844
2002-Chautauqua,2002,Chautauqua,3236,339,3575
2002-Chemung,2002,Chemung,2727,308,3035
2002-Chenango,2002,Chenango,1166,117,1283
2002-Clinton,2002,Clinton,1321,231,1552
2002-Columbia,2002,Columbia,959,114,1073
2002-Cortland,2002,Cortland,1420,93,1513
2002-Delaware,2002,Delaware,801,135,936
2002-Dutchess,2002,Dutchess,5272,696,5968
2002-Erie,2002,Erie,27634,4635,32269
2002-Essex,2002,Essex,608,64,672
2002-Franklin,2002,Franklin,862,197,1059
2002-Fulton,2002,Fulton,1421,74,1495
2002-Genesee,2002,Genesee,1575,108,1683
2002-Greene,2002,Greene,664,146,810
2002-Hamilton,2002,Hamilton,103,7,110
2002-Herkimer,2002,Herkimer,1203,211,1414
2002-Jefferson,2002,Jefferson,1843,218,2061
2002-Kings,2002,Kings,51241,22466,73707
2002-Lewis,2002,Lewis,296,40,336
2002-Livingston,2002,Livingston,1535,79,1614
2002-Madison,2002,Madison,1289,77,1366
2002-Monroe,2002,Monroe,28240,2303,30543
2002-Montgomery,2002,Montgomery,713,86,799
2002-Nassau,2002,Nassau,20492,2707,23199
2002-New York,2002,New York,54941,13211,68152
2002-Niagara,2002,Niagara,7149,815,7964
2002-Oneida,2002,Oneida,6098,689,6787
2002-Onondaga,2002,Onondaga,15668,1967,17635
2002-Ontario,2002,Ontario,1965,102,2067
2002-Orange,2002,Orange,7482,1240,8722
2002-Orleans,2002,Orleans,554,95,649
2002-Oswego,2002,Oswego,2894,183,3077
2002-Otsego,2002,Otsego,991,159,1150
2002-Putnam,2002,Putnam,1209,73,1282
2002-Queens,2002,Queens,44264,12625,56889
2002-Rensselaer,2002,Rensselaer,4406,547,4953
2002-Richmond,2002,Richmond,6422,1426,7848
2002-Rockland,2002,Rockland,4760,649,5409
2002-Saratoga,2002,Saratoga,2598,262,2860
2002-Schenectady,2002,Schenectady,4594,563,5157
2002-Schoharie,2002,Schoharie,573,67,640
2002-Schuyler,2002,Schuyler,295,29,324
2002-Seneca,2002,Seneca,581,55,636
2002-St Lawrence,2002,St Lawrence,2259,264,2523
2002-Steuben,2002,Steuben,1295,122,1417
2002-Suffolk,2002,Suffolk,33583,3124,36707
2002-Sullivan,2002,Sullivan,1581,256,1837
2002-Tioga,2002,Tioga,572,38,610
2002-Tompkins,2002,Tompkins,2873,132,3005
2002-Ulster,2002,Ulster,3581,525,4106
2002-Warren,2002,Warren,1770,122,1892
2002-Washington,2002,Washington,910,213,1123
2002-Wayne,2002,Wayne,1885,135,2020
2002-Westchester,2002,Westchester,17373,2575,19948
2002-Wyoming,2002,Wyoming,1073,72,1145
2002-Yates,2002,Yates,359,30,389
2003-Albany,2003,Albany,10575,1402,11977
2003-Allegany,2003,Allegany,746,100,846
2003-Bronx,2003,Bronx,29690,13381,43071
2003-Broome,2003,Broome,5655,407,6062
2003-Cattaraugus,2003,Cattaraugus,2120,205,2325
2003-Cayuga,2003,Cayuga,1627,186,1813
2003-Chautauqua,2003,Chautauqua,3619,347,3966
2003-Chemung,2003,Chemung,2639,277,2916
2003-Chenango,2003,Chenango,1116,112,1228
2003-Clinton,2003,Clinton,1432,167,1599
2003-Columbia,2003,Columbia,823,64,887
2003-Cortland,2003,Cortland,1271,95,1366
2003-Delaware,2003,Delaware,826,111,937
2003-Dutchess,2003,Dutchess,5439,786,6225
2003-Erie,2003,Erie,29779,4843,34622
2003-Essex,2003,Essex,517,51,568
2003-Franklin,2003,Franklin,810,193,1003
2003-Fulton,2003,Fulton,1206,82,1288
2003-Genesee,2003,Genesee,1663,115,1778
2003-Greene,2003,Greene,566,152,718
2003-Hamilton,2003,Hamilton,68,3,71
2003-Herkimer,2003,Herkimer,1183,226,1409
2003-Jefferson,2003,Jefferson,1993,197,2190
2003-Kings,2003,Kings,49804,21485,71289
2003-Lewis,2003,Lewis,297,47,344
2003-Livingston,2003,Livingston,1678,95,1773
2003-Madison,2003,Madison,1184,82,1266
2003-Monroe,2003,Monroe,29065,2623,31688
2003-Montgomery,2003,Montgomery,648,46,694
2003-Nassau,2003,Nassau,20345,2598,22943
2003-New York,2003,New York,52277,12179,64456
2003-Niagara,2003,Niagara,6734,879,7613
2003-Oneida,2003,Oneida,5694,700,6394
2003-Onondaga,2003,Onondaga,14361,1762,16123
2003-Ontario,2003,Ontario,1985,118,2103
2003-Orange,2003,Orange,6970,932,7902
2003-Orleans,2003,Orleans,428,70,498
2003-Oswego,2003,Oswego,2396,142,2538
2003-Otsego,2003,Otsego,1045,133,1178
2003-Putnam,2003,Putnam,1109,79,1188
2003-Queens,2003,Queens,39336,11106,50442
2003-Rensselaer,2003,Rensselaer,4108,528,4636
2003-Richmond,2003,Richmond,5660,1297,6957
2003-Rockland,2003,Rockland,4392,554,4946
2003-Saratoga,2003,Saratoga,2432,197,2629
2003-Schenectady,2003,Schenectady,4234,554,4788
2003-Schoharie,2003,Schoharie,608,40,648
2003-Schuyler,2003,Schuyler,301,21,322
2003-Seneca,2003,Seneca,562,44,606
2003-St Lawrence,2003,St Lawrence,2363,216,2579
2003-Steuben,2003,Steuben,1390,126,1516
2003-Suffolk,2003,Suffolk,32416,2975,35391
2003-Sullivan,2003,Sullivan,1812,294,2106
2003-Tioga,2003,Tioga,568,32,600
2003-Tompkins,2003,Tompkins,2166,128,2294
2003-Ulster,2003,Ulster,3444,582,4026
2003-Warren,2003,Warren,1465,135,1600
2003-Washington,2003,Washington,831,185,1016
2003-Wayne,2003,Wayne,2110,145,2255
2003-Westchester,2003,Westchester,16882,2616,19498
2003-Wyoming,2003,Wyoming,926,80,1006
2003-Yates,2003,Yates,330,30,360
2004-Albany,2004,Albany,11279,1431,12710
2004-Allegany,2004,Allegany,846,97,943
2004-Bronx,2004,Bronx,28142,12797,40939
2004-Broome,2004,Broome,5581,328,5909
2004-Cattaraugus,2004,Cattaraugus,2270,211,2481
2004-Cayuga,2004,Cayuga,1639,131,1770
2004-Chautauqua,2004,Chautauqua,3457,347,3804
2004-Chemung,2004,Chemung,2817,253,3070
2004-Chenango,2004,Chenango,977,119,1096
2004-Clinton,2004,Clinton,1401,187,1588
2004-Columbia,2004,Columbia,1008,74,1082
2004-Cortland,2004,Cortland,1267,107,1374
2004-Delaware,2004,Delaware,756,88,844
2004-Dutchess,2004,Dutchess,4563,747,5310
2004-Erie,2004,Erie,28589,4715,33304
2004-Essex,2004,Essex,409,61,470
2004-Franklin,2004,Franklin,864,165,1029
2004-Fulton,2004,Fulton,1404,95,1499
2004-Genesee,2004,Genesee,1717,108,1825
2004-Greene,2004,Greene,663,140,803
2004-Hamilton,2004,Hamilton,53,4,57
2004-Herkimer,2004,Herkimer,1000,177,1177
2004-Jefferson,2004,Jefferson,2051,230,2281
2004-Kings,2004,Kings,48227,19735,67962
2004-Lewis,2004,Lewis,291,26,317
2004-Livingston,2004,Livingston,1639,86,1725
2004-Madison,2004,Madison,1333,71,1404
2004-Monroe,2004,Monroe,28615,2332,30947
2004-Montgomery,2004,Montgomery,670,56,726
2004-Nassau,2004,Nassau,19816,2501,22317
2004-New York,2004,New York,51317,11414,62731
2004-Niagara,2004,Niagara,6965,895,7860
2004-Oneida,2004,Oneida,5852,546,6398
2004-Onondaga,2004,Onondaga,12567,1674,14241
2004-Ontario,2004,Ontario,1718,88,1806
2004-Orange,2004,Orange,6430,930,7360
2004-Orleans,2004,Orleans,575,71,646
2004-Oswego,2004,Oswego,2496,136,2632
2004-Otsego,2004,Otsego,1077,129,1206
2004-Putnam,2004,Putnam,1012,77,1089
2004-Queens,2004,Queens,37819,10323,48142
2004-Rensselaer,2004,Rensselaer,3830,488,4318
2004-Richmond,2004,Richmond,5683,1419,7102
2004-Rockland,2004,Rockland,4661,571,5232
2004-Saratoga,2004,Saratoga,2603,248,2851
2004-Schenectady,2004,Schenectady,4805,613,5418
2004-Schoharie,2004,Schoharie,478,45,523
2004-Schuyler,2004,Schuyler,335,12,347
2004-Seneca,2004,Seneca,549,37,586
2004-St Lawrence,2004,St Lawrence,2500,144,2644
2004-Steuben,2004,Steuben,1905,188,2093
2004-Suffolk,2004,Suffolk,29172,2844,32016
2004-Sullivan,2004,Sullivan,1607,273,1880
2004-Tioga,2004,Tioga,517,29,546
2004-Tompkins,2004,Tompkins,2147,116,2263
2004-Ulster,2004,Ulster,3438,467,3905
2004-Warren,2004,Warren,1359,98,1457
2004-Washington,2004,Washington,688,86,774
2004-Wayne,2004,Wayne,1985,197,2182
2004-Westchester,2004,Westchester,16021,2601,18622
2004-Wyoming,2004,Wyoming,623,58,681
2004-Yates,2004,Yates,296,30,326
2005-Albany,2005,Albany,10504,1615,12119
2005-Allegany,2005,Allegany,935,134,1069
2005-Bronx,2005,Bronx,26699,12325,39024
2005-Broome,2005,Broome,5720,409,6129
2005-Cattaraugus,2005,Cattaraugus,2194,200,2394
2005-Cayuga,2005,Cayuga,1710,138,1848
2005-Chautauqua,2005,Chautauqua,3613,390,4003
2005-Chemung,2005,Chemung,2602,211,2813
2005-Chenango,2005,Chenango,999,104,1103
2005-Clinton,2005,Clinton,1838,173,2011
2005-Columbia,2005,Columbia,1009,89,1098
2005-Cortland,2005,Cortland,1266,130,1396
2005-Delaware,2005,Delaware,665,82,747
2005-Dutchess,2005,Dutchess,5197,826,6023
2005-Erie,2005,Erie,29441,5017,34458
2005-Essex,2005,Essex,496,53,549
2005-Franklin,2005,Franklin,712,155,867
2005-Fulton,2005,Fulton,1498,109,1607
2005-Genesee,2005,Genesee,1597,96,1693
2005-Greene,2005,Greene,695,133,828
2005-Hamilton,2005,Hamilton,81,3,84
2005-Herkimer,2005,Herkimer,1258,210,1468
2005-Jefferson,2005,Jefferson,2771,290,3061
2005-Kings,2005,Kings,46870,19369,66239
2005-Lewis,2005,Lewis,338,28,366
2005-Livingston,2005,Livingston,1836,66,1902
2005-Madison,2005,Madison,1215,83,1298
2005-Monroe,2005,Monroe,25044,2735,27779
2005-Montgomery,2005,Montgomery,753,122,875
2005-Nassau,2005,Nassau,18195,2565,20760
2005-New York,2005,New York,48502,11180,59682
2005-Niagara,2005,Niagara,6327,970,7297
2005-Oneida,2005,Oneida,5787,514,6301
2005-Onondaga,2005,Onondaga,11937,1969,13906
2005-Ontario,2005,Ontario,1615,110,1725
2005-Orange,2005,Orange,7193,976,8169
2005-Orleans,2005,Orleans,637,108,745
2005-Oswego,2005,Oswego,2472,187,2659
2005-Otsego,2005,Otsego,1084,112,1196
2005-Putnam,2005,Putnam,1017,95,1112
2005-Queens,2005,Queens,34872,10250,45122
2005-Rensselaer,2005,Rensselaer,3931,490,4421
2005-Richmond,2005,Richmond,5566,1499,7065
2005-Rockland,2005,Rockland,4217,541,4758
2005-Saratoga,2005,Saratoga,2601,269,2870
2005-Schenectady,2005,Schenectady,5056,708,5764
2005-Schoharie,2005,Schoharie,465,33,498
2005-Schuyler,2005,Schuyler,311,30,341
2005-Seneca,2005,Seneca,550,37,587
2005-St Lawrence,2005,St Lawrence,2499,174,2673
2005-Steuben,2005,Steuben,1951,202,2153
2005-Suffolk,2005,Suffolk,28983,3109,32092
2005-Sullivan,2005,Sullivan,1961,260,2221
2005-Tioga,2005,Tioga,484,29,513
2005-Tompkins,2005,Tompkins,2665,147,2812
2005-Ulster,2005,Ulster,3504,558,4062
2005-Warren,2005,Warren,1477,89,1566
2005-Washington,2005,Washington,812,97,909
2005-Wayne,2005,Wayne,2047,171,2218
2005-Westchester,2005,Westchester,14697,2648,17345
2005-Wyoming,2005,Wyoming,621,83,704
2005-Yates,2005,Yates,283,19,302
2006-Albany,2006,Albany,10390,1545,11935
2006-Allegany,2006,Allegany,720,119,839
2006-Bronx,2006,Bronx,24733,11922,36655
2006-Broome,2006,Broome,6121,504,6625
2006-Cattaraugus,2006,Cattaraugus,2074,165,2239
2006-Cayuga,2006,Cayuga,1784,176,1960
2006-Chautauqua,2006,Chautauqua,3322,330,3652
2006-Chemung,2006,Chemung,2387,193,2580
2006-Chenango,2006,Chenango,1012,96,1108
2006-Clinton,2006,Clinton,1677,128,1805
2006-Columbia,2006,Columbia,1198,125,1323
2006-Cortland,2006,Cortland,1057,112,1169
2006-Delaware,2006,Delaware,727,78,805
2006-Dutchess,2006,Dutchess,5119,854,5973
2006-Erie,2006,Erie,27566,5015,32581
2006-Essex,2006,Essex,497,55,552
2006-Franklin,2006,Franklin,808,157,965
2006-Fulton,2006,Fulton,1417,100,1517
2006-Genesee,2006,Genesee,1648,106,1754
2006-Greene,2006,Greene,786,183,969
2006-Hamilton,2006,Hamilton,68,6,74
2006-Herkimer,2006,Herkimer,1130,218,1348
2006-Jefferson,2006,Jefferson,2793,300,3093
2006-Kings,2006,Kings,43376,17992,61368
2006-Lewis,2006,Lewis,322,26,348
2006-Livingston,2006,Livingston,1871,92,1963
2006-Madison,2006,Madison,1159,66,1225
2006-Monroe,2006,Monroe,24409,3273,27682
2006-Montgomery,2006,Montgomery,684,131,815
2006-Nassau,2006,Nassau,18653,2578,21231
2006-New York,2006,New York,45593,10662,56255
2006-Niagara,2006,Niagara,6220,900,7120
2006-Oneida,2006,Oneida,5705,664,6369
2006-Onondaga,2006,Onondaga,12319,1885,14204
2006-Ontario,2006,Ontario,1759,130,1889
2006-Orange,2006,Orange,7380,971,8351
2006-Orleans,2006,Orleans,851,89,940
2006-Oswego,2006,Oswego,2578,158,2736
2006-Otsego,2006,Otsego,1046,146,1192
2006-Putnam,2006,Putnam,870,93,963
2006-Queens,2006,Queens,34006,10102,44108
2006-Rensselaer,2006,Rensselaer,4136,559,4695
2006-Richmond,2006,Richmond,5728,1408,7136
2006-Rockland,2006,Rockland,4239,507,4746
2006-Saratoga,2006,Saratoga,3043,244,3287
2006-Schenectady,2006,Schenectady,5386,799,6185
2006-Schoharie,2006,Schoharie,451,28,479
2006-Schuyler,2006,Schuyler,201,12,213
2006-Seneca,2006,Seneca,544,46,590
2006-St Lawrence,2006,St Lawrence,2541,158,2699
2006-Steuben,2006,Steuben,1511,259,1770
2006-Suffolk,2006,Suffolk,29496,3100,32596
2006-Sullivan,2006,Sullivan,1713,291,2004
2006-Tioga,2006,Tioga,550,37,587
2006-Tompkins,2006,Tompkins,2573,147,2720
2006-Ulster,2006,Ulster,3407,512,3919
2006-Warren,2006,Warren,1705,112,1817
2006-Washington,2006,Washington,977,96,1073
2006-Wayne,2006,Wayne,2102,165,2267
2006-Westchester,2006,Westchester,14910,2768,17678
2006-Wyoming,2006,Wyoming,653,100,753
2006-Yates,2006,Yates,350,23,373
2007-Albany,2007,Albany,9116,1468,10584
2007-Allegany,2007,Allegany,624,86,710
2007-Bronx,2007,Bronx,24364,11689,36053
2007-Broome,2007,Broome,5564,459,6023
2007-Cattaraugus,2007,Cattaraugus,1965,149,2114
2007-Cayuga,2007,Cayuga,1675,172,1847
2007-Chautauqua,2007,Chautauqua,3464,341,3805
2007-Chemung,2007,Chemung,2382,224,2606
2007-Chenango,2007,Chenango,923,47,970
2007-Clinton,2007,Clinton,1794,221,2015
2007-Columbia,2007,Columbia,1213,149,1362
2007-Cortland,2007,Cortland,1169,116,1285
2007-Delaware,2007,Delaware,757,91,848
2007-Dutchess,2007,Dutchess,5526,895,6421
2007-Erie,2007,Erie,28708,4541,33249
2007-Essex,2007,Essex,460,80,540
2007-Franklin,2007,Franklin,852,145,997
2007-Fulton,2007,Fulton,1483,132,1615
2007-Genesee,2007,Genesee,1354,87,1441
2007-Greene,2007,Greene,964,176,1140
2007-Hamilton,2007,Hamilton,52,2,54
2007-Herkimer,2007,Herkimer,1014,177,1191
2007-Jefferson,2007,Jefferson,2247,288,2535
2007-Kings,2007,Kings,41795,17526,59321
2007-Lewis,2007,Lewis,344,65,409
2007-Livingston,2007,Livingston,1500,61,1561
2007-Madison,2007,Madison,1360,74,1434
2007-Monroe,2007,Monroe,22322,2956,25278
2007-Montgomery,2007,Montgomery,606,118,724
2007-Nassau,2007,Nassau,17679,2341,20020
2007-New York,2007,New York,45043,10055,55098
2007-Niagara,2007,Niagara,6192,763,6955
2007-Oneida,2007,Oneida,6215,700,6915
2007-Onondaga,2007,Onondaga,11445,1815,13260
2007-Ontario,2007,Ontario,1715,99,1814
2007-Orange,2007,Orange,7739,1042,8781
2007-Orleans,2007,Orleans,1000,91,1091
2007-Oswego,2007,Oswego,2481,160,2641
2007-Otsego,2007,Otsego,1085,100,1185
2007-Putnam,2007,Putnam,912,71,983
2007-Queens,2007,Queens,32784,9846,42630
2007-Rensselaer,2007,Rensselaer,4044,495,4539
2007-Richmond,2007,Richmond,5502,1337,6839
2007-Rockland,2007,Rockland,3932,545,4477
2007-Saratoga,2007,Saratoga,2828,205,3033
2007-Schenectady,2007,Schenectady,4666,689,5355
2007-Schoharie,2007,Schoharie,534,33,567
2007-Schuyler,2007,Schuyler,148,19,167
2007-Seneca,2007,Seneca,519,46,565
2007-St Lawrence,2007,St Lawrence,2122,196,2318
2007-Steuben,2007,Steuben,1391,160,1551
2007-Suffolk,2007,Suffolk,28717,2657,31374
2007-Sullivan,2007,Sullivan,1799,268,2067
2007-Tioga,2007,Tioga,498,35,533
2007-Tompkins,2007,Tompkins,2336,116,2452
2007-Ulster,2007,Ulster,3018,455,3473
2007-Warren,2007,Warren,1520,109,1629
2007-Washington,2007,Washington,875,128,1003
2007-Wayne,2007,Wayne,1622,162,1784
2007-Westchester,2007,Westchester,14308,2478,16786
2007-Wyoming,2007,Wyoming,587,54,641
2007-Yates,2007,Yates,324,13,337
2008-Albany,2008,Albany,9394,1356,10750
2008-Allegany,2008,Allegany,560,91,651
2008-Bronx,2008,Bronx,23939,11345,35284
2008-Broome,2008,Broome,6308,555,6863
2008-Cattaraugus,2008,Cattaraugus,1715,215,1930
2008-Cayuga,2008,Cayuga,1706,147,1853
2008-Chautauqua,2008,Chautauqua,3414,320,3734
2008-Chemung,2008,Chemung,2133,204,2337
2008-Chenango,2008,Chenango,893,41,934
2008-Clinton,2008,Clinton,1677,142,1819
2008-Columbia,2008,Columbia,1199,137,1336
2008-Cortland,2008,Cortland,994,112,1106
2008-Delaware,2008,Delaware,664,74,738
2008-Dutchess,2008,Dutchess,5645,892,6537
2008-Erie,2008,Erie,28640,4735,33375
2008-Essex,2008,Essex,416,51,467
2008-Franklin,2008,Franklin,908,95,1003
2008-Fulton,2008,Fulton,1388,99,1487
2008-Genesee,2008,Genesee,1333,113,1446
2008-Greene,2008,Greene,1316,102,1418
2008-Hamilton,2008,Hamilton,36,5,41
2008-Herkimer,2008,Herkimer,1084,201,1285
2008-Jefferson,2008,Jefferson,2500,271,2771
2008-Kings,2008,Kings,42652,16895,59547
2008-Lewis,2008,Lewis,349,35,384
2008-Livingston,2008,Livingston,1003,72,1075
2008-Madison,2008,Madison,1391,70,1461
2008-Monroe,2008,Monroe,21987,2917,24904
2008-Montgomery,2008,Montgomery,651,134,785
2008-Nassau,2008,Nassau,18766,2309,21075
2008-New York,2008,New York,45555,9176,54731
2008-Niagara,2008,Niagara,6404,763,7167
2008-Oneida,2008,Oneida,5938,672,6610
2008-Onondaga,2008,Onondaga,11732,1728,13460
2008-Ontario,2008,Ontario,1789,108,1897
2008-Orange,2008,Orange,8145,1039,9184
2008-Orleans,2008,Orleans,1034,73,1107
2008-Oswego,2008,Oswego,2409,184,2593
2008-Otsego,2008,Otsego,1016,86,1102
